image_path,plate_text
182.jpg,173TN9116
898.jpg,65TN6646
502.jpg,149TN745
530.jpg,152TN6105
637.jpg,65TN6646
894.jpg,165TN895
326.jpg,171TN8084
601.jpg,60TN3044
380.jpg,72TN5043
546.jpg,87TN8179
254.jpg,71TN1524
37.jpg,160TN2955
123.jpg,121TN6559
44.jpg,139TN2785
587.jpg,57TN4911
59.jpg,179TN7121
569.jpg,122TN8467
726.jpg,163TN3647
416.jpg,70TN6651
28.jpg,71TN6532
87.jpg,153TN3222
461.jpg,130TN9410
597.jpg,83TN8531
610.jpg,81TN2965
838.jpg,164TN8276
727.jpg,155TN4578
460.jpg,191TN9338
829.jpg,140TN5408
765.jpg,171TN6934
843.jpg,112TN6434
309.jpg,172TN2738
130.jpg,165TN6025
888.jpg,65TN3230
256.jpg,96TN5370
434.jpg,176TN755
455.jpg,158TN412
519.jpg,160TN1641
719.jpg,149TN3297
755.jpg,132TN7367
232.jpg,177TN4712
43.jpg,41TN1310
680.jpg,87TN382
142.jpg,90TN4636
401.jpg,155TN1383
660.jpg,93TN5882
611.jpg,182TN1735
386.jpg,195TN668
554.jpg,94TN8974
71.jpg,62TN9640
539.jpg,42TN3076
3.jpg,103TN1643
322.jpg,163TN3294
866.jpg,78TN140
636.jpg,165TN895
676.jpg,84TN2486
545.jpg,110TN4884
585.jpg,87TN9294
831.jpg,177TN1523
886.jpg,167TN5102
317.jpg,82TN874
81.jpg,143TN1094
642.jpg,122TN7105
837.jpg,104TN489
236.jpg,135TN5906
732.jpg,89TN4187
508.jpg,67TN504
622.jpg,88TN7703
12.jpg,156TN2325
199.jpg,78TN3293
557.jpg,120TN4640
259.jpg,119TN1234
306.jpg,165TN7878
725.jpg,146TN5543
481.jpg,134TN3970
139.jpg,98TN5178
828.jpg,175TN6734
708.jpg,190TN8391
381.jpg,114TN239
315.jpg,108TN5794
336.jpg,131TN870
361.jpg,109TN5513
565.jpg,94TN1365
784.jpg,191TN2774
176.jpg,133TN6719
775.jpg,94TN573
691.jpg,116TN1701
487.jpg,157TN6832
713.jpg,45TN6480
669.jpg,118TN9630
870.jpg,157TN8796
884.jpg,153TN3718
126.jpg,118TN5018
695.jpg,84TN449
465.jpg,67TN7030
761.jpg,106TN2736
312.jpg,114TN9860
488.jpg,169TN9044
449.jpg,122TN2171
864.jpg,163TN3168
549.jpg,62TN9920
715.jpg,62TN9734
330.jpg,194TN3593
537.jpg,86TN9955
261.jpg,133TN3849
42.jpg,191TN179
785.jpg,96TN4579
633.jpg,113TN9996
483.jpg,62TN1646
402.jpg,119TN5419
822.jpg,107TN5783
849.jpg,188TN4228
833.jpg,108TN5333
48.jpg,117TN1938
634.jpg,182TN2759
66.jpg,136TN9687
426.jpg,94TN8974
514.jpg,64TN2661
194.jpg,128TN1739
146.jpg,156TN3853
753.jpg,140TN9240
758.jpg,176TN4062
908.jpg,115TN5367
215.jpg,114TN7304
421.jpg,138TN6070
234.jpg,77TN4426
701.jpg,80TN4161
179.jpg,122TN7105
745.jpg,146TN2878
901.jpg,87TN2225
492.jpg,88TN6610
121.jpg,134TN3970
360.jpg,175TN5973
559.jpg,163TN8312
143.jpg,141TN13
875.jpg,116TN6898
678.jpg,156TN775
345.jpg,86TN9785
274.jpg,47TN8151
897.jpg,62TN3927
655.jpg,141TN9185
396.jpg,137TN8459
83.jpg,179TN7121
748.jpg,24TN1398
803.jpg,60TN9658
844.jpg,131TN8840
282.jpg,171TN5976
457.jpg,120TN8917
485.jpg,136TN9687
124.jpg,145TN5368
516.jpg,180TN228
281.jpg,175TN6431
154.jpg,176TN755
628.jpg,114TN8377
280.jpg,171TN2151
740.jpg,191TN1006
624.jpg,135TN5332
550.jpg,116TN8703
505.jpg,136TN8032
107.jpg,191TN2827
113.jpg,188TN956
84.jpg,106TN2131
547.jpg,175TN7944
411.jpg,183TN8201
11.jpg,96TN8557
588.jpg,89TN7122
793.jpg,156TN1451
581.jpg,68TN2202
157.jpg,31TN8115
789.jpg,175TN5973
852.jpg,160TN5065
265.jpg,76TN6346
422.jpg,118TN5018
524.jpg,58TN2527
563.jpg,195TN668
536.jpg,188TN6472
509.jpg,107TN5823
75.jpg,68TN3759
558.jpg,188TN1222
382.jpg,173TN4951
867.jpg,157TN3518
773.jpg,131TN8840
129.jpg,125TN5378
657.jpg,57TN2904
817.jpg,96TN8557
531.jpg,81TN4001
279.jpg,114TN7055
430.jpg,78TN7729
229.jpg,119TN2123
543.jpg,81TN9062
79.jpg,45TN6480
885.jpg,181TN2562
495.jpg,179TN7121
910.jpg,106TN2131
693.jpg,77TN6823
324.jpg,107TN5411
136.jpg,114TN7304
266.jpg,135TN5906
845.jpg,91TN4293
662.jpg,171TN9707
255.jpg,71TN1524
806.jpg,117TN3941
394.jpg,160TN8806
304.jpg,71TN1524
699.jpg,106TN2131
564.jpg,132TN6885
667.jpg,194TN558
86.jpg,111TN4151
46.jpg,109TN658
371.jpg,65TN6646
149.jpg,191TN9338
792.jpg,83TN9393
372.jpg,68TN2202
338.jpg,162TN2625
27.jpg,170TN6375
272.jpg,152TN9593
58.jpg,187TN2381
858.jpg,150TN8546
735.jpg,141TN6603
35.jpg,152TN4908
273.jpg,142TN8217
541.jpg,110TN533
711.jpg,105TN6789
786.jpg,134TN4413
570.jpg,79TN2589
446.jpg,125TN8583
231.jpg,129TN9084
891.jpg,175TN6734
341.jpg,144TN9065
687.jpg,95TN7304
102.jpg,106TN2131
26.jpg,116TN8703
233.jpg,77TN9587
512.jpg,167TN5598
308.jpg,133TN9933
456.jpg,153TN8959
403.jpg,69TN6075
292.jpg,119TN6926
723.jpg,77TN4378
904.jpg,177TN2854
630.jpg,68TN6341
206.jpg,181TN1022
223.jpg,122TN7105
175.jpg,175TN7944
874.jpg,56TN1601
690.jpg,124TN6062
112.jpg,127TN9295
47.jpg,160TN2955
17.jpg,195TN2612
374.jpg,63TN6751
578.jpg,81TN8729
774.jpg,95TN4837
608.jpg,163TN3168
135.jpg,165TN895
865.jpg,128TN9146
39.jpg,156TN6516
224.jpg,118TN6637
497.jpg,167TN2142
133.jpg,109TN2328
801.jpg,170TN6375
225.jpg,170TN7645
681.jpg,121TN237
440.jpg,107TN5823
562.jpg,176TN4062
212.jpg,188TN7083
218.jpg,188TN7083
706.jpg,89TN2811
400.jpg,129TN230
635.jpg,92TN9925
93.jpg,99TN1341
763.jpg,108TN5333
55.jpg,137TN9189
332.jpg,128TN4425
398.jpg,149TN7951
245.jpg,139TN8869
591.jpg,93TN4591
364.jpg,96TN3734
160.jpg,173TN4951
378.jpg,120TN8917
627.jpg,77TN8377
496.jpg,147TN472
820.jpg,190TN413
97.jpg,180TN706
313.jpg,142TN1369
339.jpg,112TN6434
515.jpg,133TN9146
783.jpg,130TN8988
805.jpg,90TN9848
147.jpg,159TN7948
64.jpg,181TN3690
767.jpg,111TN2799
210.jpg,106TN2131
468.jpg,110TN6829
707.jpg,135TN4716
857.jpg,86TN2400
365.jpg,156TN1451
291.jpg,161TN761
85.jpg,178TN5826
131.jpg,119TN9133
69.jpg,115TN5367
211.jpg,161TN6744
